flow_rate_L_min,channel_number,channel_width_mm,channel_height_mm,required_width_mm,max_temperature_C,pressure_drop_kPa,total_thermal_resistance_K_W,pumping_power_W,Re,flow_regime,thermal_ok,pressure_ok,feasible
4.037289373746292,17,1.625964844738918,1.7977930848140344,35.6414023605616,46.25387816153385,1.0154854339234811,0.03894339120488281,0.06833014252622355,2590.131437669024,Transitional,True,True,True
4.670442449818708,7,2.1096628002016615,3.379665646447905,17.76763960141163,46.286002576518115,0.8975681062437894,0.03949084666100549,0.0698673364167397,4538.628803032117,Turbulent,True,True,True
2.49536389472299,16,1.886461967539587,0.7233603963646136,37.68339148063339,55.789031170065996,3.166706524312105,0.0558112186961122,0.13170141876586927,2231.44842209313,Transitional,True,True,True
4.22434027396662,10,2.079160997805162,3.1533070902988083,25.291609978051618,48.61632908840109,0.4544329477685552,0.04382612070999737,0.03199465671793462,3014.645171336074,Turbulent,True,True,True
2.0953668565844077,5,2.732802803305494,3.2243422397581667,15.66401401652747,86.30128539597155,0.20179971884654738,0.11573486007552132,0.007047407375651787,2626.853110970424,Transitional,False,True,False
1.3526211158792856,16,1.6892623155648343,1.2941827216780943,34.528197049037345,108.41716873858985,0.4257616206143711,0.15619545771487084,0.00959823597289973,1058.0886013422182,Laminar,False,True,False
3.5141629760712965,7,1.5928797971808268,3.414373686202431,14.150158580265789,47.62894778771239,1.0817280178010857,0.041162930853018066,0.06335614250559281,3743.761540189791,Turbulent,True,True,True
3.651192959010121,6,2.5806495034880026,3.3166752512388067,17.983897020928016,54.571164660364516,0.4784570807033051,0.05520104942198024,0.029115652070874083,3853.1186945899876,Turbulent,True,True,True
2.2436527056357853,12,1.2208202598256102,2.888734263912414,20.149843117907324,79.91075499394358,0.4511167132844228,0.10340769497112773,0.01686915390530197,1698.8832619023658,Laminar,True,True,True
1.128886176241894,26,0.5184056743775138,3.254235321257484,25.97854753381536,52.36115607106106,0.7599171242547116,0.041974903485116614,0.014297665611010627,429.74934574020534,Laminar,True,True,True
3.4918288546641447,9,2.262913446565838,3.2325516085768875,24.366221019092542,58.36662224764166,0.2792203933379754,0.0626120879281228,0.016249830437803578,2636.269992867277,Transitional,True,True,True
2.56512098992253,17,0.8494924953191436,0.900855257375907,22.44137242042544,41.63385094320887,12.308286997521758,0.02765768447502289,0.5262040887888936,3218.98155915404,Turbulent,True,True,True
1.8677754412817549,21,0.5770445864198486,2.028510862313268,22.11793631481682,61.431209636023866,2.2425302556444913,0.06515786705568256,0.0698090489637346,1274.644108946089,Laminar,True,True,True
1.4656310276878814,11,2.633507683170415,1.3187882005286926,33.968584514874564,132.22643611243157,0.29569229283493526,0.20463432093607023,0.007222929983784202,1258.8280519923644,Laminar,False,True,False
0.7623623376007971,15,1.2034597300549914,1.5275781521833927,25.05189595082487,115.86344435730621,0.3598813324033414,0.16285085994712742,0.0045726662304983465,694.9064562567354,Laminar,False,True,False
3.478624316271028,7,2.459745522766034,2.8250973911458566,20.218218659362236,53.97327128658136,0.5391979418628613,0.05380974247420124,0.03126111786412403,3511.2463637642404,Turbulent,True,True,True
0.6022043291023722,6,2.305898376491126,2.116570305879856,16.335390258946756,246.7991206957666,0.0996072902904803,0.419702077381471,0.0009997323570513986,847.4454526813637,Laminar,False,True,False
1.225723005651208,6,1.7526119377584088,1.0330923594960895,13.015671626550454,77.79937695269726,2.619641211436174,0.09385843953628108,0.05351590832348865,2738.356390707368,Transitional,True,True,True
3.633441687849812,17,1.4525530652412062,1.555292312017568,32.693402109100504,45.630898793584436,1.577781463234337,0.03730126246590326,0.0955462823805386,2653.3690762241176,Transitional,True,True,True
3.336271669034998,16,1.4045315263834761,0.8067747176063536,29.972504422135618,40.71724376994851,9.159918128432235,0.027121177700844826,0.5093329223761425,3521.0843547862255,Turbulent,True,True,True
4.561710784447287,16,1.6394407245840277,1.208271776783306,33.731051593344446,39.54628910782412,4.107288857331998,0.02593797808955907,0.3122710645888592,3738.4839437460673,Turbulent,True,True,True
1.8768048086779363,25,0.9419319573480793,3.498149994323314,35.548298933701986,59.37922571772938,0.24405578602283065,0.06109096606390504,0.007634084546555369,631.3526529444503,Laminar,True,True,True
3.3228897831609943,7,2.12461650388705,0.7955551239896118,17.87231552720935,44.130179338426856,16.908603856973485,0.03392967834892827,0.9364237833975629,6070.066042907418,Turbulent,True,True,True
2.3711333097677434,19,0.6040354346547312,2.2289678673558164,20.476673258439895,55.50161643046623,2.54473946880709,0.054934247470478245,0.10056527531948607,1644.898811591549,Laminar,True,True,True
1.984375455497534,21,0.7585074193063791,2.556756002621992,25.928655805433962,64.47824728698998,0.841974899551655,0.07170465451723439,0.0278465720802551,1064.3155487905897,Laminar,True,True,True
1.2676683584159876,7,2.812800295941993,2.5337139889513822,22.68960207159395,192.00098004401838,0.08513904102974416,0.32265011611381217,0.0017988011396547867,1264.796851119708,Laminar,False,True,False
2.0609141204067667,20,0.5570096775742437,3.8549572463450588,20.640193551484874,52.471364546807024,1.1953122271804282,0.04796020940814577,0.04105726412151676,872.130647333942,Laminar,True,True,True
2.630702304756292,17,1.167439157729734,1.6604914906989325,27.84646568140548,59.496635483393135,1.1826375673485097,0.06352310682476911,0.05185278956858499,2043.3272467492473,Transitional,True,True,True
2.84302581112192,26,0.5540301997008261,3.3920217346802524,26.90478519222148,47.64209797737884,1.5160871740361548,0.0402225558671072,0.07183791612826132,1034.7336071668524,Laminar,True,True,True
4.53272347327895,15,0.8506227224965269,2.4391265023866726,19.759340837447905,36.93063095946249,4.666052763831197,0.02068648774603906,0.35249878150292974,3429.9601124677497,Turbulent,True,True,True
0.988590835109496,21,1.2030844595975208,2.807979221421656,35.26477365154794,79.4096216190911,0.11598014181776972,0.09426279288002577,0.0019109484209291125,438.2496976205986,Laminar,True,True,True
4.622053303119236,30,0.5935313904404494,2.4419836428701918,32.305941713213485,40.257539380162584,3.076233073964296,0.027401663039634906,0.2369752206780219,1895.2443201889569,Laminar,True,True,True
2.1691502773809743,10,2.5744743578310327,3.3288801522250564,30.244743578310327,128.60296932041115,0.0719870242895091,0.2005718323892376,0.00260251122842366,1372.0649595795883,Laminar,False,True,False
1.927125017702219,9,1.2272945953502965,2.3026999523110008,15.045651358152668,69.29710508192092,0.9103826794556757,0.08112693467127523,0.029240353954363547,2265.047126298737,Transitional,True,True,True
2.1814597799316955,12,0.7361666701537881,3.113763639721591,14.334000041845457,62.882978905088,1.4222694916965637,0.06916928637566973,0.051710394872665835,1763.1813886604884,Laminar,True,True,True
1.681072321652891,4,1.1024264375142119,0.9296527634402011,5.9097057500568475,54.69190164919036,38.95638001528091,0.050823568720459275,1.0914748699246761,7722.709037898248,Turbulent,True,True,True
4.240007024562077,29,0.883210791561235,1.127439078552087,39.61311295527582,37.750421638263575,5.806802769684238,0.02210689290511566,0.41034807556179487,2715.288779724006,Transitional,True,True,True
3.197222561843796,23,0.9910866642864331,1.5861328551503318,33.79499327858796,51.2072712816534,1.6355663360116088,0.04791364431883143,0.08715449318147511,2014.0837150177804,Transitional,True,True,True
3.5494640312578585,4,0.8045812615713278,2.2721547606722154,4.718325046285312,40.90376853370033,42.63461822264193,0.027753298655890376,2.5221673977946395,10769.522524923314,Turbulent,True,True,True
3.624180960392989,24,0.9994391291501441,3.3144358416379194,35.48653909960346,56.37572547528346,0.46134904133724924,0.058780795629250045,0.02786687352850028,1307.1185437879617,Laminar,True,True,True
1.0568921164265508,19,1.4939454845623517,1.5533204212332892,37.384964206684685,99.60532082850996,0.24381434298228288,0.1355948967837826,0.004294757616161565,681.6329905465795,Laminar,False,True,False
